,name,age,joining_date,income,job_category,remote,unknown1,city,country,unknown2,gender,phone,email,marital_status,employment_status,job_role,analytics,dashboard,experience,company
166,Steven Potter,,2024-04-14,57376,Unknown,No,,South Michaelmouth,Honduras,True,,001-477-143-9456x148,,married,,Event organiser,Python,PowerBI,6,
167,Rebecca Howard,49,2024-05-15,45407,Unknown,Yes,001,Sheltonton,Armenia,,,3347834165,,,,"Nurse, adult",Other,Other,8,
168,Steve Patel,,,27277,B,No,,Natashaburgh,Finland,,F,144-531-4116x2325,,single,,Web designer,Other,R,6,
169,Julia Benson,18,2023-01-18,140999,Unknown,,,South Heather,Ukraine,False,,864.490.3632x53191,,,,Insurance claims handler,Other,Other,2,Hendrix Inc
170,Andrew Miller,,2024-05-10,27506,B,No,003,Rogerstown,Croatia,,Other,(737)453-0039x13048,,married,,"Civil engineer, consulting",Other,R,7,
171,Kevin Lowe,,,83712,A,Yes,001,Edwardton,Nauru,,M,(213)814-3404x2584,,married,unemployed,Biomedical scientist,Other,Tableau,8,
172,Maria Mitchell,,,65779,Unknown,No,002,Conleyview,Denmark,,,8874352128,millerdavid@yahoo.com,married,,Child psychotherapist,Other,Other,6,
173,Ashley Trujillo,63,2023-12-29,21400,B,,002,West Steven,Philippines,,Other,+1-023-688-0320x1367,steven28@gmail.com,,employed,Metallurgist,Python,Other,8,
174,Patrick Liu,,,34945,C,No,abc,North Jade,Sao Tome and Principe,False,Other,001-187-783-9764,,single,unemployed,Armed forces technical officer,Python,PowerBI,3,"Hall, Mueller and Wilson"
175,Natasha Perez,25,2025-02-11,138909,Unknown,Yes,,Port Marissa,Suriname,False,,001-605-092-1148x0464,,,unemployed,"Scientist, forensic",Other,Other,10,
176,Diana Huffman MD,53,,54046,C,No,,Mooreport,Nepal,True,Other,(777)862-4399,brandondavis@gmail.com,,unemployed,Chemical engineer,SQL,Other,8,
177,Kathleen Avila,,,113955,Unknown,No,002,Lake Veronica,Burkina Faso,True,,118.982.3627x8214,josephthomas@hotmail.com,married,freelancer,"Engineer, mining",Excel,R,3,
178,Mark Rogers,36,,134843,Unknown,,001,Lake Richard,Malaysia,True,Other,001-448-753-5112x350,,,,Administrator,Excel,Other,8,
179,Robert Clark,45,2024-01-02,13449,Unknown,Yes,003,North Markhaven,Gibraltar,True,,001-106-666-8412x722,ryan16@hotmail.com,married,unemployed,Careers adviser,Other,R,9,
180,Ryan Sanchez,45,,59164,A,Yes,,Murphyshire,Thailand,,,(137)983-9793x85722,,married,freelancer,Soil scientist,Python,R,9,Campbell PLC
181,Laura Rose DDS,,2022-08-15,112897,A,Yes,,Alexisshire,Rwanda,False,F,252-425-8184x777,andersoncourtney@holden-villegas.org,married,freelancer,"Radiographer, therapeutic",SQL,Other,7,
182,Amber Li,,2023-02-20,103349,Unknown,Yes,,West Bradleytown,Mozambique,True,,935-963-5227,,,freelancer,Plant breeder/geneticist,Other,Other,5,
183,Cheryl Thomas,,2022-10-26,125179,C,Yes,,North Davidchester,Liechtenstein,,F,001-545-180-9441x7744,,married,,Exhibition designer,Python,R,4,Meyer-Johnson
184,Kristen Casey,,2022-10-23,132228,C,Yes,001,Karenchester,Guernsey,True,,396.505.6249,parkerkristina@morgan.com,single,unemployed,"Therapist, speech and language",Other,Other,0,Lewis PLC
185,Kimberly Clark,,2023-06-30,84132,C,Yes,001,Markburgh,Kenya,,Other,560-534-0463,johnsonjohnathan@henry.com,,unemployed,"Civil engineer, consulting",Excel,Other,10,Thomas-Lee
186,Lauren Woods,,2023-05-06,28907,B,Yes,002,Lake Robertostad,Malawi,,M,865.525.9925x55006,myersmichelle@gmail.com,married,,Charity fundraiser,Other,PowerBI,0,
187,Dawn Ware,39,,130226,B,No,abc,Elizabethhaven,Nigeria,True,M,861-860-4299,amanda29@martinez-browning.com,,freelancer,Health and safety adviser,Python,Tableau,6,
188,Amy Carroll,,2022-10-17,7221,C,No,003,Karenville,United Kingdom,False,F,(087)392-6685x1433,,,unemployed,Magazine features editor,Excel,PowerBI,2,
189,Alexander Macdonald,,,117561,C,No,002,Ericksonbury,Mayotte,,M,(333)506-8317x527,fhester@cox.net,,employed,Animal technologist,Python,Tableau,8,
190,William Wilson,50,,19304,A,No,abc,Stewartmouth,Timor-Leste,True,F,001-495-636-4363x601,,single,,Sports administrator,Excel,R,5,
191,David Scott,,,50290,Unknown,Yes,001,Lake Nicole,Aruba,True,M,001-299-909-5088x93385,,married,employed,Community education officer,Excel,Other,8,Wallace Ltd
192,Michael Carlson,,,116037,Unknown,Yes,,Davidshire,Mali,False,Other,492-962-0824x223,brandonspencer@yahoo.com,,employed,Archivist,Other,Tableau,2,
193,Alyssa Hampton DDS,,,22331,B,Yes,,Ryanport,Cocos (Keeling) Islands,False,M,4648176782,jacksonconnie@hotmail.com,single,,"Therapist, art",Excel,Other,9,
194,William Roach,,2024-02-21,40969,A,No,abc,Christopherville,Belgium,,,380-374-1537,,,unemployed,Theatre stage manager,Python,Tableau,4,
195,Susan Foster,25,2023-05-21,76298,Unknown,Yes,003,Lake Cindyview,Djibouti,True,,(838)174-4545x467,,,employed,Operational investment banker,Other,Other,2,Gonzalez PLC
196,Kimberly Wood,,2023-04-01,35234,A,,001,Greenmouth,Puerto Rico,True,M,4684916784,brownkyle@cooper-saunders.com,single,,Television camera operator,Python,Other,2,
197,Linda Morris,,,70080,Unknown,No,003,South James,Italy,True,,3853869362,,single,,Prison officer,Excel,Tableau,3,
198,Amy Griffin,,2023-07-18,79005,B,No,001,Laramouth,Guam,,M,554-129-2738,,married,freelancer,Data scientist,Other,R,9,
199,Casey Harris,,,56228,Unknown,No,002,New Carolyn,Palestinian Territory,True,,261-296-1354,bhowell@jimenez.net,married,,Tour manager,Python,PowerBI,5,
200,Michael Klein,,2022-08-03,143887,A,Yes,abc,Gonzalezville,Peru,True,F,+1-882-483-8586x44935,,,employed,Licensed conveyancer,Excel,Tableau,8,Perez and Sons
201,Desiree Daugherty,,,27256,B,,002,Curtishaven,Tokelau,,M,001-569-371-4072,,single,,Manufacturing engineer,SQL,Tableau,4,Simmons-Freeman
202,Theresa Davis,,2024-08-25,76291,A,Yes,002,East Michelleberg,Malaysia,False,,272-630-6145x716,ycochran@browning-holmes.com,married,employed,Jewellery designer,SQL,Other,7,Johnson Inc
203,Amanda Reeves,44,,59430,Unknown,Yes,abc,Donaldbury,Mali,,M,288.008.0600,perezkara@smith-weber.net,married,freelancer,Forest/woodland manager,Other,PowerBI,3,"Proctor, Watkins and Olson"
204,Nicole Miller,27,2023-11-09,108873,Unknown,Yes,,Reyesmouth,Japan,,Other,754.698.5447x37199,michael04@hotmail.com,single,,Multimedia programmer,Other,Other,8,
205,Monica Smith,,2023-08-03,41645,B,Yes,001,Jordanmouth,Congo,False,F,042-997-9144x61032,cpeck@smith.biz,,freelancer,Charity fundraiser,Excel,Other,9,Perkins-Hunt
206,Steve Brown,22,2023-05-21,121242,C,Yes,003,New Teresamouth,Liberia,True,M,001-524-299-1443x6830,,single,unemployed,"Research officer, trade union",Other,Other,6,"Torres, Marshall and Moore"
207,Victoria Odonnell,,,61286,C,Yes,003,Smithstad,Costa Rica,,F,(031)580-7934,rileychristopher@hotmail.com,married,freelancer,Editorial assistant,Other,Other,8,Carr LLC
208,Jason Hall,21,2025-04-15,114899,A,,002,North Dillonmouth,Cayman Islands,True,,(499)057-1712x555,,,,Energy manager,Other,Other,5,
209,Kevin Medina,,,11832,C,,002,Smithfort,Armenia,True,Other,(536)508-0098x0530,hsnow@gmail.com,,,Analytical chemist,Python,Other,3,
210,Angela Henry,24,2022-09-05,19656,A,,abc,East Christopher,Poland,,F,3119376543,mark05@mccoy.net,married,,Leisure centre manager,Python,R,9,
211,Kelsey Warren,,2022-06-02,42251,A,No,,East Debrafurt,Bulgaria,,F,001-124-134-0332,,single,employed,Music therapist,Excel,Tableau,9,
212,Zachary Allen,,,57812,C,No,,Amandahaven,British Virgin Islands,False,Other,001-322-790-9637x186,deborahbrown@jordan.info,single,unemployed,Estate manager/land agent,Other,Tableau,1,
213,Casey Mercer,41,2024-08-08,108703,B,No,003,Catherineland,Norfolk Island,,F,8002784960,morandavid@stokes.com,,,Occupational hygienist,Python,Tableau,8,
214,Dawn Hobbs,,2025-01-19,50967,Unknown,Yes,,Michaeltown,Cote d'Ivoire,,F,510.094.6846,roger22@hotmail.com,single,,Wellsite geologist,Other,Other,0,
215,Jorge Cardenas,,,32291,Unknown,No,003,Paulfurt,Morocco,True,F,323.264.7287,,,unemployed,Furniture conservator/restorer,Excel,R,7,
216,Scott Stone,34,2024-11-24,96876,B,Yes,,Alexanderland,Azerbaijan,True,M,+1-538-510-6899,,,,"Development worker, international aid",SQL,Other,7,"Harper, Frank and Ramirez"
217,Stacy Garcia,,,130695,A,No,abc,Collierburgh,Sweden,True,M,271-519-9381,,single,freelancer,Stage manager,Python,PowerBI,1,Merritt LLC
218,Victoria Sloan,,2023-05-13,148404,B,No,,New Heidibury,Aruba,,M,001-617-400-0097,,married,,IT technical support officer,Other,Tableau,0,
219,Cindy Hunt,39,2022-09-08,146590,B,Yes,003,South Paul,Korea,False,M,001-931-717-7597x6426,gabrielgould@hotmail.com,,,Physiological scientist,Other,Other,2,
220,Scott Coleman,41,,130915,A,Yes,001,Lake Zachary,Bhutan,False,F,001-607-196-0842x963,,,employed,Special educational needs teacher,Other,PowerBI,4,Carter-Roberts
221,Joshua Jones,,2022-08-16,147639,Unknown,No,003,Lake Timothy,Luxembourg,,Other,+1-162-091-7027x8083,david94@molina.com,,employed,Secretary/administrator,Python,Other,7,Cox-Villanueva
222,Dean Ortiz,,,30350,B,No,,South Kristopherport,Tajikistan,,,(351)361-1882x77209,murrayclayton@brown.com,single,,Patent attorney,Other,Other,8,
223,Stephanie Stevens,,2022-06-14,25697,Unknown,Yes,,Johnsonside,Bahamas,False,M,549-838-2061x50228,,married,unemployed,Arboriculturist,SQL,Tableau,2,
224,Mariah Ray,45,,43765,B,No,,Lake Bobbyton,Nepal,True,M,(682)966-6413x552,,,,"Education officer, community",Python,R,8,Nunez Inc
225,Julie Anderson,,,114994,B,Yes,002,Barretttown,Armenia,False,,661.215.1425,,single,employed,Futures trader,Other,PowerBI,4,
226,Rachel Martinez,,2023-07-09,132293,Unknown,Yes,002,East Kevintown,Paraguay,,,001-361-661-8562x8794,zmiller@poole-harris.net,,employed,Medical sales representative,Other,R,3,
227,Leslie Cox,,2025-01-27,10303,C,Yes,003,Lake Ryan,Netherlands,,,001-882-025-9328x5002,,single,unemployed,"Programme researcher, broadcasting/film/video",SQL,R,7,Ward-Morris
228,Theresa Randall,,,28406,A,No,002,Davidmouth,Saint Pierre and Miquelon,,,(126)838-8021,,,employed,"Scientist, physiological",Other,Tableau,1,Wood LLC
229,Alan Wagner,,,142438,A,No,002,Port Williamtown,Nauru,False,M,(650)135-6262x6271,cstone@hotmail.com,single,,Electronics engineer,Excel,R,3,Page Group
230,Jose Hutchinson,,,37472,A,No,003,Wiseville,Bermuda,,,(661)174-1890x1321,,married,,"Therapist, horticultural",Other,Other,5,"Figueroa, Contreras and Gonzalez"
231,Natalie Mason,,2024-06-08,106335,A,No,,West Vanessa,Saint Helena,False,F,(198)742-7571x408,,married,unemployed,"Scientist, product/process development",Python,Other,8,
232,Mary Woods,61,,50403,A,No,003,East Kevinstad,Saudi Arabia,,Other,+1-790-045-6995x82707,,,freelancer,"Nurse, mental health",Other,R,3,Ramirez-Gilbert
233,Richard Bradshaw,,,109111,B,Yes,,New Alexis,Guatemala,,,+1-014-579-8477x371,,,freelancer,Paediatric nurse,Excel,Other,1,Perez LLC
234,Jeremy Garcia,,2024-09-03,73458,B,No,002,Chapmanburgh,Indonesia,False,M,421-435-3129x79442,,,freelancer,"Scientist, audiological",SQL,PowerBI,10,Herrera PLC
235,Tyler Colon,,,14258,A,No,,Sanfordborough,Guadeloupe,False,,812-684-5773,,,freelancer,Speech and language therapist,Other,R,2,
236,Suzanne Benson,53,2025-01-27,38539,B,,002,Burkeview,Djibouti,,M,983-819-6595x39079,qhunt@gmail.com,,unemployed,"Geologist, wellsite",Python,Other,5,Bruce and Sons
237,Melissa Lee,,2024-05-24,35875,Unknown,Yes,,South Jesse,Saint Kitts and Nevis,True,,+1-663-033-3161x55578,chenmitchell@gmail.com,single,,Fisheries officer,Other,R,6,
238,Matthew Cantu,27,2022-12-30,124949,C,No,,Markbury,Saint Barthelemy,False,M,958-457-8100,,,unemployed,"Engineer, broadcasting (operations)",Python,PowerBI,0,"Goodman, Hamilton and Moreno"
239,Megan Johns,35,2024-07-20,46532,Unknown,Yes,002,Wyattland,Panama,,,001-897-834-9952x9867,,,,Environmental health practitioner,Other,PowerBI,0,
240,Larry Boone,,2025-05-16,89466,Unknown,No,001,New Troyport,Montenegro,True,F,(913)785-0216,lindsey13@kaufman.com,,freelancer,Restaurant manager,SQL,PowerBI,6,
241,Rebecca Wolfe,,2024-09-10,16984,B,Yes,abc,Danielside,Slovenia,,,571.702.0196,,married,freelancer,Petroleum engineer,Other,R,3,
242,Ryan Vasquez,43,2025-04-07,39394,A,Yes,,North Heatherberg,Jordan,False,M,934-999-9258,,single,,Animal technologist,Python,Other,9,
243,Kenneth Johnson,56,2023-02-18,10175,A,Yes,abc,South Lucas,Anguilla,,,(014)414-3193,smithlaura@hotmail.com,,,Lawyer,SQL,Tableau,10,
244,Lisa Smith,,,141395,B,,,Daviestown,India,False,,6308125868,kingwilliam@carter-brown.com,single,freelancer,Historic buildings inspector/conservation officer,Excel,PowerBI,7,
245,Linda Matthews,56,2023-09-30,57867,C,Yes,003,North Julie,Faroe Islands,False,M,4731770255,,,unemployed,Retail manager,Other,R,3,
246,Jacob Escobar,,2025-02-04,134526,C,Yes,,West Davidtown,Cook Islands,True,M,5788214561,,married,,Building control surveyor,Python,R,7,
247,Paul Park,24,2022-10-18,99428,C,Yes,,Ericachester,Turkmenistan,True,M,811-217-6383,ugray@fuentes.com,single,unemployed,"Designer, jewellery",SQL,R,5,Hall-Ingram
248,Vincent Simon,,2024-01-15,94842,C,Yes,abc,North Cindyview,Montserrat,,,153-670-6914,,,,"Surveyor, mining",Other,Tableau,1,
249,April Solomon,,2024-04-03,46784,B,Yes,,Owensfort,Zambia,,,834-197-1402,,,unemployed,English as a foreign language teacher,Other,Other,5,
250,Daniel Brown,,2022-08-03,132958,B,Yes,abc,East Edward,Belize,True,M,+1-574-957-5322x205,,,employed,Oncologist,Other,Other,9,
251,Brian Palmer,,,29967,Unknown,No,abc,Thomasburgh,Macedonia,,,001-062-517-1287x1075,eric45@yahoo.com,single,employed,Structural engineer,SQL,Other,7,Gray-Williams
252,Thomas Holt,28,,91742,B,Yes,,East Jessica,Cote d'Ivoire,False,,561.533.2454x116,,,,Forensic scientist,SQL,PowerBI,7,"Mccarty, Gonzalez and Wu"
253,Dennis Proctor,,2024-12-17,122196,C,Yes,abc,Wilsonfurt,Austria,True,M,1625874472,,,employed,Newspaper journalist,Other,Other,0,
254,Misty Hawkins,,2022-08-16,59224,Unknown,No,003,Gonzalezburgh,Kenya,True,F,5394710184,,,,"Psychologist, forensic",Other,Other,7,
255,Crystal Abbott,,,63129,A,No,003,Heathfurt,Gibraltar,,,030-154-7629x945,,,employed,Medical illustrator,Excel,Tableau,7,
256,Nathan White,,,56359,A,Yes,abc,Chandlerport,Algeria,False,,4659005532,katherinemunoz@hotmail.com,,employed,Analytical chemist,Other,PowerBI,10,
257,Carl Neal,55,,137172,C,No,001,Thompsonchester,Iraq,True,,(823)864-1952,,,,Glass blower/designer,SQL,Other,2,
258,Anthony Gregory,26,,89369,Unknown,Yes,abc,Wyattfurt,Costa Rica,False,Other,902.677.7174x28070,,,freelancer,Amenity horticulturist,Other,Tableau,2,Cantu-Brooks
259,Joseph Fry,,,148604,C,,,Santosfurt,Sierra Leone,False,F,+1-579-008-8262x426,davidchen@hotmail.com,,freelancer,"Nurse, learning disability",SQL,Tableau,8,
260,Scott Richards,,2025-01-02,97337,Unknown,No,,Riversfurt,Azerbaijan,,,463.186.6895,,,employed,Claims inspector/assessor,Other,PowerBI,0,Watson Ltd
261,Ashley Nelson,27,2025-12-03,47188,B,Yes,002,West Rita,Dominican Republic,True,Other,(045)747-6511x94640,smolina@gmail.com,single,freelancer,Farm manager,Other,PowerBI,9,
262,Juan Fisher,,2022-08-04,106944,A,,,South Richardland,Gambia,,M,+1-320-725-9686x34565,,,,"Doctor, general practice",Python,Other,0,
263,Danielle Curtis MD,,2024-03-08,121146,A,No,,Lowefort,Mexico,False,F,+1-815-137-1750x5855,,,unemployed,Control and instrumentation engineer,Excel,Tableau,2,
264,Briana Bennett,50,,78167,Unknown,Yes,002,Simmonsstad,Bouvet Island (Bouvetoya),False,,356.060.4497x8657,,single,freelancer,Recycling officer,Other,Tableau,0,
265,Melissa Stein,,2023-03-15,83945,Unknown,,,Stevensmouth,Malta,,M,+1-775-988-3016x5161,,,,Museum education officer,SQL,Tableau,8,
266,Theresa Harper,50,,110753,B,No,002,Hillberg,Macao,False,Other,+1-060-230-3910x6526,,,freelancer,Geographical information systems officer,SQL,Other,8,Neal and Sons
267,Jared Brown,,2024-01-30,95703,Unknown,No,,Lake Maryport,Estonia,False,M,+1-223-330-1884x53651,,,,"Therapist, nutritional",Excel,Other,4,
268,Alyssa Hernandez,,2022-08-24,103293,Unknown,,abc,Port Miguelberg,Lithuania,,M,(263)386-8769x1016,,married,freelancer,Radiation protection practitioner,Other,PowerBI,1,
269,Jeffrey Burgess,,2023-06-10,60255,A,Yes,001,Janicechester,Brunei Darussalam,False,,(736)661-7119,,,employed,Civil Service administrator,SQL,PowerBI,7,
270,Wayne Davenport,39,2023-12-24,51659,B,,001,East Bradley,Tunisia,False,Other,140-279-0742x51884,,,,"Programmer, applications",Other,Other,5,
271,Michael Marks,,2022-06-27,21577,A,Yes,003,East Bobby,Trinidad and Tobago,True,Other,(778)069-3239,,,,"Producer, radio",Excel,R,7,"Gordon, Jones and Spears"
272,Sarah Trujillo,,2024-07-29,144845,A,No,,Lake Brianport,Bermuda,,,062-882-4491x637,,married,freelancer,Regulatory affairs officer,Python,PowerBI,8,
273,Cindy Diaz,27,2023-10-08,108306,Unknown,,001,New Jasonfort,Trinidad and Tobago,,F,118-615-1765x29847,,,unemployed,Magazine features editor,Other,Other,2,
274,Cindy Cooper,29,,55941,B,No,,North Joshuafort,Palau,True,,001-888-014-8928x749,,single,freelancer,Chiropodist,Excel,R,1,
275,Kayla Hall,,,98621,C,No,001,Timothychester,Fiji,,,(734)973-2557,rossdavid@hotmail.com,married,freelancer,Television camera operator,Other,Other,5,
276,Timothy Phillips,,,100549,C,Yes,002,West Angela,Iceland,True,Other,526.957.2138,lauren39@yahoo.com,married,,"Conservation officer, historic buildings",Python,R,2,
277,Jeremy Arnold,,,99041,B,No,,North Douglasberg,Pitcairn Islands,True,F,186-983-7664,,single,freelancer,Retail banker,SQL,Other,3,Clark-Garcia
278,Matthew Murray,,2024-12-08,9883,Unknown,Yes,,Lake Matthew,Korea,,,(475)798-5082x18803,matthew16@richards.biz,single,,Housing manager/officer,Python,Other,8,"Lang, Murphy and Williams"
279,Janet Jones,59,2022-09-23,81283,C,No,,Port Christina,Ghana,True,,001-338-029-7939x7906,,single,unemployed,Lawyer,Other,Tableau,8,
280,John Chen,46,2022-11-22,43325,Unknown,No,001,East Joseph,Guatemala,False,,+1-269-075-4313x95971,clopez@hotmail.com,single,freelancer,Geographical information systems officer,Python,Tableau,0,
281,Sherry Hunt,,2023-10-18,124182,A,Yes,,Gibbston,Pakistan,,M,+1-368-271-1254x7945,,,freelancer,Chemical engineer,Other,Other,9,
282,Brittany Barton,,,25404,Unknown,Yes,abc,Flemingchester,Bolivia,False,,004-736-5839,,,freelancer,"Social research officer, government",Other,Other,9,
283,Veronica Gill,50,,25208,Unknown,Yes,002,Gordonbury,Taiwan,False,F,(597)279-8990x9177,swansondana@gmail.com,,,"Engineer, manufacturing systems",Excel,Tableau,6,Young-Lee
284,Benjamin Mcdonald,64,,130572,A,,002,Normanmouth,Yemen,,M,920.135.6657x8950,cassidysmith@yahoo.com,single,unemployed,Secondary school teacher,Other,Other,2,
285,Kristin Myers,,2024-10-14,43499,A,No,003,Rileyside,Peru,False,,455.512.1257,,single,freelancer,Intelligence analyst,Excel,Tableau,7,
286,Zachary Ward,,2023-08-25,112680,C,,002,Williamschester,Algeria,,F,(717)306-9986,,,,Health promotion specialist,Other,Other,1,
287,Patrick Taylor,,2024-01-18,58044,Unknown,,,Lake Staceyfort,Chad,,F,001-100-485-6301,,single,unemployed,"Engineer, automotive",Other,Other,9,
288,Timothy Vincent,,2024-10-06,39164,Unknown,Yes,,New Nicolebury,Somalia,,,001-830-472-8760x2910,,,employed,Learning disability nurse,Other,Other,3,"White, Valenzuela and Rodriguez"
289,Laura Fisher,,,30615,Unknown,No,003,West Steven,Turks and Caicos Islands,,F,3960937901,martinezronald@mcdonald-johnson.com,,,Paediatric nurse,Other,Other,4,
290,Derek Hall,,2022-07-26,35888,Unknown,Yes,abc,Robersonfort,Austria,False,Other,001-951-040-7117x4490,,,employed,Magazine journalist,SQL,Other,10,
291,Joseph Stephens,,,100851,B,Yes,002,Cainberg,Guinea,,,(182)181-3733x02951,,,unemployed,Barrister's clerk,Python,Other,8,Torres LLC
292,Rachel Miller,,,109367,C,Yes,,Clementston,Cook Islands,False,,876.985.4025,,married,employed,"Engineer, manufacturing systems",SQL,Other,6,"Mosley, Brooks and Stephenson"
293,John Smith,,2023-10-29,6386,B,No,abc,Juanmouth,Uruguay,,M,+1-066-471-7226,cochranmelissa@martinez.biz,,unemployed,Arboriculturist,Python,PowerBI,9,
294,Donna Booker,,,141578,B,,001,Davidbury,Mexico,False,,(098)198-5247,,single,unemployed,Equality and diversity officer,Other,R,3,
295,Dean French,,,49428,A,No,002,West Bruce,Tunisia,True,F,400-805-9094,vhanson@yahoo.com,,,Product/process development scientist,Python,Other,6,
296,Luis Hart,,2024-03-29,22987,B,,003,Thomasside,Faroe Islands,,Other,8425660681,,married,,Medical sales representative,SQL,Other,6,
297,Mrs. Sarah Mcdaniel DDS,,2024-12-30,32909,Unknown,Yes,,Elizabethville,Netherlands,,Other,766-863-5284x965,carrie64@gmail.com,,,Geographical information systems officer,Other,R,7,Sanchez LLC
298,Karen Raymond,,2023-12-16,125284,Unknown,,001,North Christopherburgh,Micronesia,,M,011-415-7085,,single,,Surgeon,SQL,Tableau,5,Nguyen-Rose
299,Adrian Hanna,,,74035,A,Yes,001,Alexisland,Hungary,,Other,(189)005-5327,vbarry@murray-romero.com,married,,Chief Executive Officer,Python,R,3,
300,Nina Ochoa,35,2022-11-08,57341,A,No,003,South Amy,Finland,False,F,(560)803-4581x78260,armstrongalicia@gmail.com,married,,Land,Python,Tableau,1,
301,Eric Stone,,,146944,A,No,003,Alexanderport,Aruba,,,249-540-4415x238,,,,Barista,SQL,Other,4,Duarte-Barnes
302,Eric Carter,,2025-03-23,115933,Unknown,,001,West Angela,Peru,,,538-592-4961,,married,,"Administrator, sports",Excel,Other,7,Campbell LLC
303,Kevin Burns,62,2022-10-20,104464,B,No,003,Williamsfurt,Chad,,F,702-194-3102x015,,,unemployed,"Scientist, research (life sciences)",Python,Other,9,Gutierrez Group
304,Cameron Prince,41,,114862,C,No,abc,Laurenland,Burkina Faso,,,+1-955-312-6024x46840,beth70@gmail.com,married,,Dealer,SQL,PowerBI,4,
305,Valerie Leblanc,,,44203,Unknown,Yes,002,Port Michael,Puerto Rico,,,510.705.1257x506,asmith@mcguire-moran.com,,,"Solicitor, Scotland",Python,R,8,
306,Susan Harrison,,2023-06-10,20738,A,Yes,abc,South Julietown,Slovenia,True,,001-141-162-7345x65805,,,freelancer,Forensic scientist,Python,R,8,
307,Jessica Rodriguez,,2025-11-01,97036,A,,,Lake Matthew,Macao,False,Other,(531)550-3786,,,,Quarry manager,Other,Other,1,"Howell, Richard and Huynh"
308,Heather Martin,,,42971,C,No,abc,South Tammychester,Fiji,,M,4176291195,daniel30@yahoo.com,married,freelancer,"Education officer, community",SQL,R,5,
309,Stacey Young,,2023-11-27,108666,B,No,003,Port Lauren,Pakistan,,,714.014.7604x7511,feliciacrawford@gilbert.com,married,employed,Medical illustrator,SQL,Tableau,10,"Johnson, Johnson and Jones"
310,William Morgan,,2022-05-11,109083,B,Yes,001,South Michaelafort,Palestinian Territory,,,(561)306-1320x48036,dave30@hotmail.com,single,,"Production assistant, television",Other,PowerBI,1,Brown PLC
311,Nicholas Fisher,57,2023-01-05,107195,B,No,002,New Jeffreyfurt,Poland,,,(327)141-8525x9062,,married,unemployed,Materials engineer,Other,Tableau,0,
312,Jennifer Miller,,2023-05-22,127471,Unknown,Yes,,East Christopher,Guatemala,,F,001-110-922-3975x27616,,married,,Theatre stage manager,Other,Other,10,
313,Richard Torres,,,144928,B,No,abc,New Michelleland,Turks and Caicos Islands,False,M,798-482-3509x2598,,,freelancer,Information systems manager,Other,R,2,Hess-Mills
314,David Beasley,18,,40730,C,Yes,abc,Nicholasshire,Timor-Leste,True,,726-557-6005,,,employed,Hydrologist,Other,R,9,
315,Cole Griffin,,2024-04-19,119584,Unknown,No,002,Alexanderburgh,Philippines,,,6274011006,hcollins@bush.com,,employed,"Conservator, furniture",Other,Tableau,8,
316,Ashley Hartman,,2022-08-31,144445,B,Yes,002,Kathrynshire,India,True,F,(900)305-3378,rhondacrawford@ford.biz,,employed,Primary school teacher,Other,Other,7,Savage LLC
317,Denise Sanders,,,10084,C,Yes,,Shawburgh,Estonia,True,F,(814)437-2125,garyhuynh@yahoo.com,,freelancer,"Engineer, land",SQL,Other,0,
318,Veronica Gillespie,23,2023-05-30,94630,Unknown,Yes,abc,Morantown,Sweden,,,5407475841,,single,freelancer,"Therapist, occupational",Excel,Tableau,0,Powell-Fox
319,Steven Castaneda,43,,55382,B,Yes,001,South Roberthaven,Croatia,True,F,677-330-8241,,,unemployed,Colour technologist,Excel,Tableau,7,
320,Alexis Soto,,2023-06-20,86817,C,No,,Port Laurenton,Pitcairn Islands,True,,230-575-2009x988,,single,freelancer,Furniture designer,Other,R,3,Lawson-Davis
321,Tonya Jackson,,2024-10-08,66857,Unknown,No,001,Harrisborough,Libyan Arab Jamahiriya,False,Other,(427)288-7030,,single,,Hydrographic surveyor,SQL,PowerBI,0,
322,Stephen Grant,,,28456,A,No,abc,Lake Jerry,Finland,True,,315.185.1068x8953,,single,employed,Commercial/residential surveyor,Python,Tableau,8,
323,Claudia Horton,,2023-10-23,96047,Unknown,No,001,East Caleb,Saint Helena,,Other,6834432927,,married,freelancer,Manufacturing engineer,Excel,Other,7,
324,James Roth,,,53923,Unknown,No,003,Sarahmouth,Guatemala,,Other,692-063-6843,,married,employed,Clinical psychologist,Other,Tableau,7,Patterson LLC
325,Bailey Wells,,2023-08-13,137633,Unknown,No,001,Hammondville,Albania,,,(834)175-9711,monica70@yahoo.com,,employed,Special effects artist,Other,Other,3,
326,Jacob Solomon,,,79220,C,Yes,,Lake Belinda,Dominican Republic,,M,816.824.2171,alexandercannon@gmail.com,single,employed,Transport planner,SQL,Tableau,0,
327,Jason Harper,,2024-11-06,106868,Unknown,,,Murrayborough,Isle of Man,,M,628.395.7483,,married,,Legal executive,Excel,PowerBI,3,
328,Emily Lopez,49,,20912,C,,,Garciahaven,Saint Vincent and the Grenadines,,Other,(482)349-1997,,single,,Psychiatrist,Python,Other,0,
329,Sarah Jones,,2023-09-21,141179,B,Yes,,Taylorside,Belgium,False,,(360)902-4052x37617,,married,unemployed,Chief Marketing Officer,Other,Tableau,9,
330,Kathryn Cordova,,,32659,C,No,,North Michaelview,Guadeloupe,,M,001-848-476-2117x27324,eric89@hotmail.com,married,,Clinical embryologist,Other,Other,5,
